Gene name,chr,start,end
ADAMTSL4-AS1,1,150560202,150574552
AL356756.1,14,29652809,29657916
AL355053.1,14,29928445,29932756
AL133372.1,14,30055210,30055954
ADAMTSL4-AS2,1,150548562,150557724
AL133372.2,14,29952397,30297043
MCL1,1,150574551,150579738
PRKD1,14,29576479,30191898
AC026583.1,15,70195638,70198509
AC048383.1,15,70321576,70326742
RPS2,16,1962058,1964841
PSPC1,13,19674752,19783019
WDR63,1,84999147,85133138
BRAFP1,X,75582676,75585506
TTC3P1,X,75740831,75746911
FKBPL,CHR_HSCHR6_MHC_MCF_CTG1,32205134,32206718
MAGEE2,X,75782987,75785254
NRN1L,16,67884885,67888855
RELB,19,45001449,45038198
SAR1AP4,X,75884546,75885136
AL451105.1,X,75888700,75888888
AL451105.2,X,75903105,75904858
ZNF70P1,6,33215705,33216328
AC233982.1,X,76029895,76030330
AC091180.1,17,49400429,49400800
AC091180.5,17,49375380,49380094
AC091180.4,17,49404081,49405197
HTATSF1P1,6,33237799,33239690
AL645940.1,6,33246075,33246856
COQ8A,1,226897536,226987545
PBDC1,X,76173040,76178314
ADAMTSL4,1,150549369,150560937
AC040162.3,16,67882461,67886367
AL024507.3,6,107957413,107959986
EDC4,16,67873052,67884499
RPL23AP50,6,107931800,107932254
SEC63,6,107867756,107958208
SNRPGP3,7,129477875,129478101
GORAB,1,170532129,170553446
STRIP2,7,129434432,129488399
AC233981.1,X,76222637,76223097
AC233981.2,X,76250183,76251796
SDK2,17,73334384,73644445
AL451067.1,1,161671978,161674824
GORAB-AS1,1,170460453,170532647
SETMAR,3,4303304,4317567
AL133372.3,14,29940745,29980212
AC104134.1,2,88538720,88575610
VPS52,6,33250272,33272047
RPS20P22,8,38434347,38435664
DAXX,CHR_HSCHR6_MHC_COX_CTG1,33240162,33250873
ANTXRL,10,46286345,46330207
RCN2,15,76931738,76954393
AP001107.5,11,66409158,66417137
FGFR1,8,38400215,38468834
AC104685.1,4,143497412,143498126
AL162724.2,9,124259250,124261156
MAST1,19,12833951,12874952
AP005900.2,18,8012257,8016565
CLASRP,19,45039045,45070956
NEK6,9,124257606,124353307
NPAS4,11,66421004,66426707
AC023480.1,3,3918709,4046722
AC079140.1,4,338097,338583
ZNF141,4,337814,384868
AC107398.2,4,47556731,47560259
AL627309.3,1,89551,91105
ATP10D,4,47485275,47593486
CICP27,1,131025,134836
AL627309.1,1,89295,133723
AP005431.2,18,3025069,3025387
PCSK9,1,55039447,55064852
CLEC4E,12,8533305,8540905
LAIR1,CHR_HSCHR19LRC_COX2_CTG3_1,54360692,54377679
AC079140.2,4,342821,342962
KIR2DL3,CHR_HSCHR19LRC_PGF1_CTG3_1,54668491,54683019
ZNF721,4,425815,499156
AL807757.1,9,94824272,94824773
AL353768.2,9,94964369,94965624
AOPEP,9,94726701,95087218
PRODH2,19,35799988,35813299
AC032019.1,17,73641026,73643106
C11orf16,11,8920076,8933006
AC124804.1,17,73513469,73521407
AC032019.2,17,73662568,73663848
AC005083.1,7,20217577,20221700
AC125421.1,17,73737854,73756932
AC018761.2,19,12796823,12801849
AC018761.3,19,12784539,12785101
AL773551.1,CHR_HSCHR6_MHC_QBL_CTG1,30788147,30820172
ABCA11P,4,425435,474129
LINC02570,CHR_HSCHR6_MHC_QBL_CTG1,30829032,30837670
LINC02092,17,73786675,73800966
DDR1-DT,CHR_HSCHR6_MHC_QBL_CTG1,30856563,30865496
AC092574.1,4,416118,416537
AC092574.2,4,386174,454070
ZNF519P4,4,393534,393658
TRBV15,CHR_HSCHR7_2_CTG6,142634764,142635309
LINC00469,17,73749270,73828520
CCL16,17,35976493,35981497
DCUN1D3,16,20854925,20900358
TRBV16,CHR_HSCHR7_2_CTG6,142639852,142640305
TRBV17,CHR_HSCHR7_2_CTG6,142643462,142644194
TRBV18,CHR_HSCHR7_2_CTG6,142657499,142658198
TRBV19,CHR_HSCHR7_2_CTG6,142660632,142661315
TRBV20-1,CHR_HSCHR7_2_CTG6,142668431,142669181
AL355365.1,6,147406531,147406824
SUSD4,1,223220819,223364178
TRBV21-1,CHR_HSCHR7_2_CTG6,142678692,142679152
YAP1P1,6,147406889,147408281
AC216089.2,CHR_HSCHR9_1_CTG5,101334084,101339373
SMARCB1,22,23786931,23838009
TRMT112P4,CHR_HSCHR9_1_CTG5,101356497,101356875
AC216089.1,CHR_HSCHR9_1_CTG5,101368525,101370831
SAMD5,6,147508690,147737547
AC004381.3,16,20711473,20732990
BAAT,CHR_HSCHR9_1_CTG5,101371093,101381063
LINC00682,4,41872747,41882955
AC004381.4,16,20720994,20722281
CFAP74,1,1921951,2003837
LYRM1,16,20899868,20925006
AL033504.1,6,147660703,147953937
AL353689.1,1,226958069,226958267
AC108210.1,4,41883060,41935075
KIR2DS4,CHR_HSCHR19LRC_PGF1_CTG3_1,54762712,54778593
AC108210.2,4,41924180,41924380
MMP28,CHR_HSCHR17_7_CTG4,35765873,35795707
AC034243.1,5,138744434,138753309
KIR3DL1,CHR_HSCHR19LRC_PGF1_CTG3_1,54746462,54760779
AC107398.1,4,47490967,47491471
LRRTM2,5,138868921,138875368
LINC00609,14,36070427,36165288
PTCSC3,14,36136108,36176468
AL365271.1,6,147741434,147743324
AP000842.1,11,125940496,125941193
AC125421.2,17,73831572,73836019
AP000842.2,11,125903247,125938916
AC137735.1,17,73894749,73911878
NATD1,17,21238870,21253410
AC098650.1,3,28349178,29767537
AC137735.3,17,73912190,73931436
CTNNA1,5,138610967,138935034
LINC02205,15,70503907,70505928
AC137735.2,17,73926421,73949906
ZCWPW2,3,28348721,28538122
AC009434.1,15,70556521,70562722
LINC02204,15,70570958,70586606
LINC02074,17,74043452,74154212
AC087699.1,15,70602124,70602516
PRB2,12,11391540,11501041
SALRNA3,15,70615547,70616567
SALRNA2,15,70635249,70637314
EIF1P5,17,21259968,21260501
AL445123.1,6,148017422,148020974
RPL23P2,21,28997613,28998033
HSPE1,2,197500140,197503449
AL445123.2,6,148001716,148018985
AL359382.1,6,148133809,148137404
AL359382.2,6,148155120,148157084
AC004381.1,16,20743663,20766620
FLOT2,17,28879335,28897733
NRM,CHR_HSCHR6_MHC_COX_CTG1,30677910,30681283
PRB1,12,11351823,11395566
AC027281.2,16,70778433,70779145
CUL4A,13,113208193,113267108
AC020763.2,16,70768967,70770221
LINC00571,13,38050817,38350259
VAC14,16,70687439,70801160
KIR3DL2,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54850439,54867235
UFM1,13,38349849,38363619
PROS1,3,93873051,93980003
AC008676.3,5,157341596,157460100
AL513164.1,6,148237585,148283408
AC106801.1,5,157565964,157569098
CYP51A1P3,6,148478693,148480763
AC008676.2,5,157422439,157422873
AC008676.1,5,157375741,157384950
KIRREL2,19,35855861,35867109
SASH1,6,148272304,148552048
FNDC9,5,157341598,157345677
EGFL8,CHR_HSCHR6_MHC_MCF_CTG1,32241011,32244709
PNPO,17,47941506,47949308
ADAM19,5,157395534,157575775
MOB4,2,197515571,197553699
HIGD1AP8,12,11481383,11481656
AC078950.1,12,11399381,11486708
ASAH2,10,50182778,50279720
TRBV22-1,CHR_HSCHR7_2_CTG6,142683514,142683964
CMC1,3,28241584,28325142
SHLD1,20,5750393,5864395
AC007450.4,12,11500499,11501022
PLA2G2A,1,19975431,19980416
AL121932.2,6,28634861,28649538
LINC00533,6,28648286,28649066
TRBV23-1,CHR_HSCHR7_2_CTG6,142687733,142688229
LCT,2,135787850,135837184
TRBV24-1,CHR_HSCHR7_2_CTG6,142697038,142697550
MTRNR2L6,CHR_HSCHR7_2_CTG6,142706945,142708391
TRBV25-1,CHR_HSCHR7_2_CTG6,142711413,142711917
LINC02334,13,37934298,38066444
AC005363.1,16,1963745,1964095
TRBVA,CHR_HSCHR7_2_CTG6,142722076,142722530
TRBV26,CHR_HSCHR7_2_CTG6,142736369,142736853
TRBVB,CHR_HSCHR7_2_CTG6,142752085,142752625
HSPD1P9,13,37993085,37994720
TRBV27,CHR_HSCHR7_2_CTG6,142756048,142756563
TRBV28,CHR_HSCHR7_2_CTG6,142761362,142761862
PGBD4P1,CHR_HSCHR7_2_CTG6,142763060,142763466
AL391845.2,1,2013213,2015639
ACOX2,3,58505136,58537283
TRBV29-1,CHR_HSCHR7_2_CTG6,142780919,142781607
RBMS3-AS1,3,29926811,29934156
HCG25,6,33249534,33255167
MTMR9LP,1,32231658,32241620
MESTP4,3,29087396,29088599
RBMS3-AS2,3,29526251,29642809
AL353768.1,9,94928551,94934946
CHGB,20,5911510,5925353
AL807757.2,9,94900429,94904754
AL162511.1,14,36213200,36235608
ETF1P1,CHR_HSCHR6_MHC_SSTO_CTG1,30022074,30023364
AZI2,3,28315003,28349050
HCG9,CHR_HSCHR6_MHC_SSTO_CTG1,29964383,29967676
AC006483.2,7,5556731,5557245
GALR3,22,37823382,37825485
AC006483.1,7,5560743,5561055
ZNRD1ASP,CHR_HSCHR6_MHC_SSTO_CTG1,29990282,30052027
DPPA4,3,109326141,109337572
ACTB,7,5527148,5563784
LCT-AS1,2,135820191,135823087
AC099681.1,7,55573171,55588336
RPS18,6,33272075,33276511
AL606490.1,X,48357125,48359495
AL606490.7,X,48371905,48372095
AC007450.3,12,11507162,11507408
AC005034.5,2,75719120,75720018
IGHE,CHR_HSCHR14_3_CTG1,105600717,105602504
DDX55P1,12,11512723,11514136
AC099681.3,7,55592074,55593193
AL024507.1,6,107985089,107985690
GCFC2,2,75652000,75710985
AC007450.2,12,11516425,11521686
MTHFD2P3,6,107985811,107986031
SSX4,X,48383516,48393347
AC099681.2,7,55593777,55595006
RPL3P7,6,108004357,108005568
RPL38,17,74203582,74210655
FAM167B,1,32247222,32248856
CCDC185,1,223393415,223395465
AC007450.1,12,11541395,11555838
LINC01252,12,11548030,11590369
VAC14-AS1,16,70755035,70773251
PRRT1,CHR_HSCHR6_MHC_MCF_CTG1,32224781,32230795
TLK1,2,170990823,171231314
Z98200.2,6,108030249,108030718
AC000050.3,22,50672714,50674174
AL136126.1,11,33237008,33237409
AC020763.3,16,70713987,70716890
AC017053.1,2,6258348,6341788
AC020763.5,16,70768356,70768785
CDC42P2,7,55638274,55638842
AC020763.1,16,70747057,70747926
TUBBP6,7,55645620,55646951
AC091812.1,7,55656768,55678490
OSTM1,6,108041409,108165854
RPL31P11,1,161683695,161685252
LINC01247,2,6366010,6375422
CHD4,12,6570082,6614524
MYL8P,CHR_HSCHR6_MHC_COX_CTG1,33260584,33261101
RNPC3,1,103525691,103555239
PIK3CDP1,2,6495877,6496798
LYPLA2P1,CHR_HSCHR6_MHC_COX_CTG1,33287152,33287847
LINC01824,2,6495651,6511839
NOP56P1,CHR_HSCHR6_MHC_DBB_CTG1,28783633,28784004
PLA2G5,1,20028179,20091911
CR753651.1,CHR_HSCHR6_MHC_DBB_CTG1,28837878,28839015
LINC01623,CHR_HSCHR6_MHC_DBB_CTG1,28859634,28863359
RPL13P,CHR_HSCHR6_MHC_DBB_CTG1,28861425,28862056
CR759835.1,CHR_HSCHR6_MHC_DBB_CTG1,28986810,28988546
NSD2,4,1871393,1982207
HCG15,CHR_HSCHR6_MHC_DBB_CTG1,28986213,28987494
AL162724.1,9,124262876,124265809
RHPN1-AS1,8,143366631,143368548
RPSAP2,6,28732017,28732904
PRAMEF5,CHR_HSCHR1_2_CTG3,13272778,13282015
NOP56P1,6,28783633,28784004
AL662890.1,6,28837869,28839006
SHANK3,22,50674415,50733298
FCRLA,1,161706972,161714352
DERL3,22,23834503,23839128
KIR2DP1,CHR_HSCHR19LRC_PGF1_CTG3_1,54684990,54697367
SSX4B,X,48402078,48411910
KIR3DP1,CHR_HSCHR19LRC_PGF1_CTG3_1,54716322,54720285
KIR2DL1,CHR_HSCHR19LRC_PGF1_CTG3_1,54699775,54714233
PPT2,CHR_HSCHR6_MHC_MCF_CTG1,32229863,32248406
OSTM1-AS1,6,108123457,108159392
AC244216.3,CHR_HSCHR1_2_CTG3,13292116,13294207
PRAMEF8,CHR_HSCHR1_2_CTG3,13299884,13303717
PDE4B,1,65792514,66374579
PRAMEF33,CHR_HSCHR1_2_CTG3,13322112,13327566
SNRPEP10,1,223644110,223644383
CAPN8,1,223538007,223665723
AC217785.2,CHR_HSCHR1_2_CTG31,155211179,155213671
AC217785.1,CHR_HSCHR1_2_CTG31,155225758,155229107
LDHBP2,X,76334841,76335845
SLC9A3P1,10,50150603,50152287
AC100786.1,17,74209980,74213342
AC217785.3,CHR_HSCHR1_2_CTG31,155229777,155234285
MTX1P1,CHR_HSCHR1_2_CTG31,155246379,155249729
WEE1,11,9573670,9593457
WASHC2A,10,50067888,50133509
SNRPEP6,6,148567378,148567654
AP000757.2,11,117818443,117821992
RPSAP40,6,148647707,148648597
AC116036.1,3,58511310,58511676
LINC01623,6,28859625,28864630
RPL13P,6,28861416,28862047
AL606490.5,X,48412303,48415285
UST-AS1,6,148955628,148964684
AL391095.3,20,38378825,38383179
AL606490.4,X,48423342,48423468
ARHGEF11,1,156934840,157045370
UST,6,148747030,149076990
AL391095.2,20,38404893,38416797
AL606490.8,X,48433201,48441619
NIPAL4,5,157460019,157474717
AL606490.2,X,48446893,48448879
AL391095.4,20,38418483,38419202
ZNF90P2,6,28888832,28889906
USP46-AS1,4,52659406,52661668
HCG14,6,28896530,28897322
AC104066.4,4,52680609,52692999
NR1H4,12,100473708,100564414
KIR2DL4,CHR_HSCHR19LRC_PGF1_CTG3_1,54733566,54744515
ERVMER34-1,4,52722618,52751586
AL627309.6,1,135141,135895
ACTG1P4,1,103569553,103570674
AL627309.7,1,137682,137965
AL627309.2,1,139790,140339
AC009994.1,17,64572829,64573081
AMY2B,1,103553815,103579534
AL121820.3,14,68605396,68611732
AL121820.1,14,68683411,68685565
DANCR,4,52712404,52720351
AL133370.2,14,68113706,68114144
AL627309.5,1,141474,173862
AL357992.1,6,149027700,149032573
GPSM1,9,136327476,136359605
DDX5,17,64498254,64508199
RAD51B,14,67819779,68730218
AC073626.2,7,114297114,114297429
PRDM16,1,3069168,3438621
RASL11B,4,52862317,52866835
AL627309.4,1,160446,161525
FO538757.1,1,182696,184174
FOXP2,7,114086327,114693772
TTYH2,17,74213571,74262020
AC016571.1,5,157363382,157365501
AC016717.3,2,225761559,225762112
AC068138.1,2,225992981,225993197
NUDT1,7,2242222,2251146
LINC01618,4,52712394,52866821
AC062015.1,2,226180044,226185371
BLOC1S3,19,45178784,45216933
AC104066.5,4,52712713,52722377
AC104066.3,4,52720081,52720831
IRS1,2,226731317,226799759
CYFIP2,5,157266079,157395595
RPS5P7,X,109853312,109853919
NPHS1,19,35825964,35869287
AC024267.4,17,28892469,28893342
ORC4,2,147930396,148021604
LTA,CHR_HSCHR6_MHC_MCF_CTG1,31648357,31650629
FYTTD1P1,CHR_HSCHR9_1_CTG5,101384932,101386191
LINC00685,CHR_HSCHRX_1_CTG3,320990,321711
AC027097.2,18,57639455,57738603
MARK4,19,45079288,45305284
LINC00668,18,6919496,6929966
AC027097.1,18,57630302,57669296
ATP8B1,18,57646426,57803315
AC091868.1,5,73803296,73803599
FKBP9P1,7,55681074,55713252
ARHGEF28,5,73626158,73941993
SUMO2P3,7,55732144,55732431
CICP11,7,55736779,55739605
HTR2B,2,231108230,231125042
AL606516.1,X,36365626,36440292
AL355297.1,6,156780327,156780455
ETV6,12,11649674,11895377
AC093142.1,3,28447725,28448073
RBMS3-AS3,3,29054570,29290726
MTND4LP9,3,29797652,29797825
SCML2P1,18,6926944,6928210
AC015849.13,CHR_HSCHR17_7_CTG4,35808489,35808897
CFAP47,X,35919734,36385317
RBMS3,3,28574791,30010391
HSPE1-MOB4,2,197500413,197550726
SUGP1,19,19276018,19320509
PSMD1,2,231056864,231172827
AC010735.1,2,226804036,226805061
AC010735.2,2,226800146,226813741
AC005034.6,2,75669989,75670454
TNF,CHR_HSCHR6_MHC_MCF_CTG1,31651872,31654641
AC005034.7,2,75710782,75728123
SUPT4H1P1,2,75651288,75651627
AC005034.3,2,75697583,75697996
AC005034.4,2,75660462,75662208
PMS2,7,5970925,6009106
MRPL19,2,75646783,75690851
AC020550.1,2,197533803,197533965
HSPD1,2,197486584,197516737
KIR2DP1,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54755023,54767371
MBIP,14,36298564,36320637
DNLZ,9,136359480,136363744
KIR2DL1,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54769814,54784135
SMKR1,7,129502531,129512918
CARD9,9,136361903,136373681
NUP35P1,10,24157835,24158781
RHBDD1,2,226835581,226999215
LINC01097,4,13526319,13534335
LINC02439,12,118782926,118833536
LGR4-AS1,11,27471729,27482433
AC087863.2,12,118849354,118908930
CST9LP1,20,23547764,23550652
AC012123.2,18,32779039,32779286
AC100786.2,17,74256896,74262020
RBMS1P1,12,66234079,66235234
AL603766.1,6,149112009,149112672
LGR4,11,27365961,27472790
AL590302.1,6,165773056,165775221
IRAK3,12,66189195,66254622
LINC00602,6,165987551,165989615
AL590302.2,6,165754189,165775780
ATXN1-AS1,6,16761138,16762652
ATXN1,6,16299112,16761491
AC021269.3,11,13463377,13464717
PDE10A,6,165327287,165988078
TAB2-AS1,6,149243299,149257551
DUSP4,8,29333064,29350684
SUMO4,6,149400262,149401278
KIR2DL4,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54803535,54814517
RPL12P7,14,68693090,68693583
PPIAP6,14,68421698,68422196
AL122013.1,14,68338728,68339528
AL133313.1,14,68693656,68695734
AL121820.2,14,68627166,68628445
TAB2,6,149218641,149411613
AL133370.1,14,68125004,68130196
CCDC178,18,32937402,33441101
KRTAP5-7,11,71527267,71528669
AC090539.1,8,50381015,50382275
SNTG1,8,49909789,50796692
AC021269.1,11,13478333,13479037
APLP1,19,35867899,35879792
HMGB1P16,X,36211096,36211635
RPS15AP40,X,36374793,36375183
AL139240.1,10,67052609,67055028
AC079848.1,3,126083659,126095349
LRRTM3,10,66926036,67101551
LTB,CHR_HSCHR6_MHC_MCF_CTG1,31656860,31658827
SLC41A3,3,126006355,126101561
TIPARP-AS1,3,156671862,156674446
AC022017.1,10,66079243,66118326
GEMIN7,19,45079195,45091518
AL607023.1,10,66837457,66837704
RPL7AP51,10,67334123,67334882
CTNNA3,10,65912523,67696195
USP12P2,2,148295656,148296679
AC019226.1,2,148044380,148044894
TIPARP,3,156673235,156706770
AC078889.1,12,66251745,66257434
AC009480.1,2,147899401,147902956
ACVR2A,2,147844517,147930826
AC078846.1,7,129604548,129611630
MAGEE1,X,76427710,76431342
TRAPPC13P1,X,76655498,76656559
EXOC3L2,19,45212621,45245431
AC100771.1,11,27483850,27484128
BBS7,4,121824329,121870487
ECT2,3,172750682,172821474
AC010530.1,16,67738588,67739922
RANBP10,16,67723070,67806652
PDE4B-AS1,1,66042500,66050718
AC239802.1,1,149006309,149009527
RPL19P4,2,130293822,130294405
TEKT4P3,2,130313934,130314411
PPP1R37,19,45091396,45148077
AC132479.1,2,130330142,130330285
PRAM1,19,8490056,8502640
WASH9P,1,185217,195411
RHPN1,8,143368876,143384221
OTULINL,5,14581792,14616180
AC087885.1,12,118988010,118989594
AC084361.1,12,119031039,119116961
AC091812.4,7,55741525,55741869
AL590438.1,1,3306636,3310096
AC091812.2,7,55743073,55743457
AL354743.1,1,3367815,3373928
SRRM4,12,118981541,119163051
AL354743.2,1,3313052,3323149
AL008733.1,1,3132927,3133709
AL512383.1,1,3205988,3208664
PLA2G2D,1,20111939,20119566
AC099342.1,7,20296637,20314512
KRT8P23,15,76979245,76980451
AC021269.2,11,13488612,13489390
INTS11,1,1311585,1324687
KIR3DL1,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54816438,54830737
AL162399.1,1,170587249,170588236
AC084262.1,8,29352420,29353170
AC084262.2,8,29351292,29360222
RPL23AP24,1,347982,348366
SMURF2,17,64542282,64662307
WBP1LP7,1,439870,440232
OR4F29,1,450703,451697
AC069544.1,10,14877688,14878686
RPL36AL,14,49618530,49620626
AL732372.1,1,358857,366052
PSPHP1,7,55764797,55773288
RPL23AP65,11,9606142,9606609
AL732372.3,1,491225,493241
CCL15-CCL14,17,35983656,36001621
AL732372.2,1,365389,522928
AC084026.2,8,29527312,29530323
AC004130.2,7,20328299,20331747
PTH,11,13492054,13496181
ITGB8,7,20330702,20415754
FABP12P1,6,149304107,149304428
AL031056.1,6,149217926,149245554
AC124945.1,3,109364047,109364234
CCL14,17,35983288,35987004
AC123905.1,12,71007773,71032083
TRAPPC6A,19,45162928,45178237
MAOA,X,43654907,43746824
COL4A4,2,227002714,227164453
AL031056.2,6,149246095,149255415
NKTR,3,42600655,42648735
AC092905.1,3,109396616,109397870
SETX,9,132261356,132354986
AC103809.1,17,74307210,74309790
AC084026.1,8,29548171,29564341
DNAI2,17,74274234,74314884
AL139099.2,14,49620815,49623480
MGAT2,14,49620799,49623481
EPB41L1,20,36091504,36232799
AC084026.3,8,29587001,29588426
RPL17P33,8,29632091,29632644
AC019226.2,2,148062154,148062577
MBD5,2,148021011,148516971
CCL15,17,35996440,36001553
KIR3DP1,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54786355,54790318
AP006222.2,1,266855,268655
AP006222.1,1,257864,359681
KIR2DS4,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54832765,54848078
IGHG4,CHR_HSCHR14_3_CTG1,105625112,105626837
CEP57,11,95789965,95832693
CICP7,1,487101,489906
TCF15,20,603797,610398
ZNF296,19,45071500,45076587
AC244100.3,17,36001419,36011618
AC244100.2,17,35983656,35990270
MUC20-OT1,3,195658062,195739964
CDV3,3,133573730,133590261
HLA-DPA2,CHR_HSCHR6_MHC_SSTO_CTG1,33232201,33237743
COL11A2P1,CHR_HSCHR6_MHC_SSTO_CTG1,33244216,33247752
AC005757.1,19,45135993,45136977
AC008799.1,5,91354478,91354934
EIF5AP3,19,45128569,45129030
AL023495.1,1,170598854,170647339
HLA-DPB2,CHR_HSCHR6_MHC_SSTO_CTG1,33252873,33269193
SRXN1,20,646615,653200
NKPD1,19,45149750,45158737
AC008799.2,5,91355380,91356026
HLA-DPA3,CHR_HSCHR6_MHC_SSTO_CTG1,33271325,33271451
AL121758.1,20,646626,675800
GEMIN7-AS1,19,45076510,45092635
SCRT2,20,661596,675802
AC103718.1,8,129685401,129723023
MTRF1LP2,8,129728744,129730445
PDCL3P7,12,66275940,66276651
CEP95,17,64506865,64542461
AL590556.1,1,21908098,21908580
ZNF414,19,8509678,8514167
LDLRAD2,1,21812265,21825225
MAU2,19,19320829,19358754
GTF2H2,CHR_HSCHR5_1_CTG1_1,70376388,70411404
CKM,19,45306413,45322875
GSDMC,8,129748196,129786624
LINC02649,10,6271169,6353827
USP18,22,18150170,18177397
LINC02656,10,6350316,6352762
HSPG2,1,21822244,21937310
SDCBPP1,10,6293100,6294684
AC113340.1,5,138620329,138620964
AC010627.1,5,14620020,14621313
AC015849.14,CHR_HSCHR17_7_CTG4,35868967,35885863
CCT6P2,5,14639426,14641018
RESP18,2,219327407,219333177
CCL5,CHR_HSCHR17_7_CTG4,35871491,35880793
RPS16P9,19,45332698,45333124
AGPAT1,CHR_HSCHR6_MHC_MCF_CTG1,32244640,32254524
AC026748.3,5,1345197,1350786
LINC01511,5,1353896,1380107
AP000907.1,11,111945639,111946892
AP000907.2,11,112015307,112016124
DIXDC1,11,111927144,112022653
MTCO2P32,5,1370543,1370945
AC010285.2,5,179939457,179940132
RNF130,5,179911651,180072113
AC087645.1,17,78211618,78211908
AC010485.1,19,33555568,33557470
TXNIP,1,145992435,145996579
AP002748.5,11,66509079,66533613
RPL21P131,19,33589206,33589688
SMC3,10,110567695,110606048
SUV39H2,10,14878820,14904315
AC233296.1,X,76656866,77014532
AL022397.1,1,209987333,209997092
SYT14,1,209900923,210171389
CHST8,19,33621953,33773509
AP002748.3,11,66454234,66454581
ZDHHC24,11,66520637,66546235
SPRYD7P1,X,77374212,77381319
FGF16,X,77447389,77457278
COP1P1,18,8412129,8414304
THEMIS3P,18,8486997,8513849
AKR1B1P6,18,8545635,8546817
AP000843.1,11,132403360,132404060
KLC3,19,45333434,45351520
SMU1P1,1,157059232,157060762
KRT8P45,1,157073257,157074703
ETV3L,1,157092043,157112412
AP002748.4,11,66473490,66480233
FAM96AP1,3,28427963,28428444
RPS12P5,3,29390848,29391218
PRKCQ,10,6427143,6580301
AGAP14P,10,46337224,46358714
MRPL11,11,66435075,66466738
SNX8,7,2251770,2354318
GAPDHP72,6,166058505,166066028
AD000864.1,19,35901561,35903855
HCST,19,35902529,35904377
AL627443.3,6,166098111,166099589
C6orf47,CHR_HSCHR6_MHC_COX_CTG1,31645706,31648178
MCM5,22,35400134,35425431
AC084880.4,12,119174065,119176484
C6orf47-AS1,CHR_HSCHR6_MHC_COX_CTG1,31645737,31648128
AL137003.1,6,16764346,16766883
BIRC5,17,78214186,78225636
KPNA4,3,160495007,160565571
DCLRE1C,10,14897359,14954432
AC090371.2,18,32833454,32938316
AC090371.1,18,32954075,32957998
CCDC28A,6,138773509,138793319
PRSS1,CHR_HSCHR7_2_CTG6,142790185,142793793
CDK3,17,76000906,76005999
NKX3-2,4,13540830,13544508
AC011511.3,19,10259109,10260045
AC011511.5,19,10285801,10289019
ICAM1,19,10271093,10286615
HMGN2P36,11,13610363,13610771
LINC00589,8,29673922,29748109
CST9L,20,23564732,23568484
AC091868.2,5,73778039,73786491
NFKBID,19,35887653,35902303
IMMP1LP3,7,2287915,2288428
SCFD2,4,52872982,53366066
SS18L2,3,42581840,42595114
LINC01096,4,13546075,13547801
EIF3B,7,2354086,2380745
FAM76B,11,95768953,95790409
CYCSP22,8,50762460,50762798
SH3BGRL,X,81202102,81298547
CST9LP2,20,23583645,23586510
TEN1,17,75979240,76000586
AC090539.2,8,50490795,50491465
LINC02022,3,12877522,12885211
AC000036.1,22,50735825,50738139
STARD7,2,96184859,96208825
CST9,20,23602410,23605917
DYNC1I2P1,10,50264978,50266815
KANK1P1,20,5928085,5929318
ACR,22,50738196,50745339
AC023154.1,4,52945649,52958087
PRSS3P1,CHR_HSCHR7_2_CTG6,142801130,142804658
PELI3,11,66466327,66477337
COL4A3,2,227164624,227314792
AC006059.5,3,42665873,42683793
AC006059.1,3,42601963,42654388
AL121894.2,20,23631826,23632316
CST3,20,23626706,23638473
GABARAPL1,12,10212458,10223128
AL139099.3,14,49629291,49629890
DNAAF2,14,49625174,49635230
KRT8P12,3,160565447,160569248
AL133405.2,6,16901104,16952699
AL133405.1,6,17015817,17034396
SEC22C,3,42547969,42601080
EEF1A1P26,7,14190795,14192157
AC006150.1,7,14814131,14816565
AL138740.1,6,17092714,17108156
STMND1,6,17102050,17131378
TEN1-CDK3,17,75979231,76005999
ICAM4,19,10286955,10288522
DGKB,7,14145049,14974777
AC002056.2,22,50740593,50743520
AC087289.4,17,75943832,75945142
SYNGR1,22,39349925,39385575
ERCC2,19,45349837,45370918
AC084880.1,12,119194850,119195394
HSPB8,12,119178931,119221131
EVPL,17,76004502,76027306
HMGN5,X,81113699,81201913
MRPL4,19,10251901,10260055
AC053503.2,2,219358870,219358983
ANTXR2,4,79901146,80125454
AC007342.1,16,53448748,53449590
CCDC28A-AS1,6,138725211,138773652
RBL2,16,53433977,53491648
AC006027.1,7,30424672,30425412
AC084880.3,12,119182048,119183259
NOD1,7,30424527,30478784
ZNF720,16,31713229,31794869
TYROBP,19,35904401,35908295
RPS15AP18,5,179933805,179934196
AC010285.3,5,179974584,179980186
AC010285.1,5,179963615,179964419
STARD7-AS1,2,96208403,96243353
ZC3H12D,6,149446795,149485014
IGHG2,CHR_HSCHR14_3_CTG1,105643841,105645561
MFF,2,227325151,227357836
AC141930.1,2,1546665,1620113
